,Boss Name,Average Kills,Lowest Kills,Highest Kills
0,King Black Dragon,6216.7389,149,53910
1,Chambers of Xeric: Challenge Mode,2120.8676,2000,9229
2,Hard Mode Theatre of Blood,2023.7817,2000,4355
3,Tombs of Amascut - 150 Invocation,2271.3666,2000,13290
4,Tombs of Amascut - 300 Invocation,2017.7115,2000,6003
5,Tombs of Amascut - 500 Invocation,2000.0,2000,2000
6,General Graardor,5161.8727,169,50361
7,K'ril Tsutsaroth,5057.9821,184,55483
8,Kree'arra,5166.8158,168,53226
9,Commander Zilyana,5151.0306,147,52750
